pr_number,created_at,merged_at,author,number_of_comments,number_of_review_comments,number_of_commits,lines_of_code_changed,number_of_files_changed,number_of_reviewers,number_of_approvals,labels,time_to_first_response,number_of_assignees,review_duration,number_of_changes_requested,number_of_build_runs,number_of_build_failures,number_of_linked_issues,time_since_last_commit,test_coverage,number_of_reviews_requested,number_of_revisions,number_of_milestones,dependency_changes,comment_authors
54875,2024-05-20T09:59:23Z,2024-06-12T17:01:17Z,ojeytonwilliams,0,2,3,114,6,3,2,"['status: waiting review', 'platform: api']",,0,2028343.0,0,8,0,0,251601.827938,,0,3,0,False,"['ojeytonwilliams', 'ShaunSHamilton']"
55156,2024-06-11T09:56:44Z,2024-06-11T13:52:00Z,gikf,2,0,2,2,2,2,2,"['type: bug', 'scope: tools/scripts']",9943.0,0,14194.0,0,9,1,0,365111.365268,,0,2,0,False,"['ojeytonwilliams', 'gikf']"
55153,2024-06-10T20:50:45Z,2024-06-11T09:38:49Z,erik-lynch,0,0,1,2,1,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",,0,336300.0,0,8,1,0,90164.373958,,0,1,0,False,[]
55171,2024-06-12T15:53:05Z,2024-06-13T14:15:11Z,ojeytonwilliams,1,0,1,67,2,2,2,['platform: api'],82743.0,0,82744.0,0,8,0,0,188780.491068,,0,1,0,False,['ojeytonwilliams']
55166,2024-06-12T10:25:47Z,2024-06-15T06:04:20Z,ojeytonwilliams,0,4,4,55,5,3,2,"['status: waiting review', 'platform: api', 'scope: tools/scripts']",,0,243513.0,0,8,0,0,47649.515036,,0,4,0,False,"['naomi-lgbt', 'ojeytonwilliams']"
55150,2024-06-10T13:39:26Z,2024-06-13T12:30:01Z,ojeytonwilliams,0,0,4,86,1,2,2,"['status: waiting review', 'platform: learn']",,0,263581.0,0,30,0,0,188763.028375,,0,4,0,False,[]
55188,2024-06-13T23:20:24Z,2024-06-14T05:02:46Z,VPYen,0,0,1,2,1,2,2,"['status: waiting review', 'scope: curriculum', 'new python course']",,0,20542.0,0,18,0,0,137744.072176,,0,1,0,False,[]
55176,2024-06-13T10:42:11Z,2024-06-13T17:18:17Z,ojeytonwilliams,0,0,4,28,5,2,2,"['platform: api', 'platform: learn', 'scope: i18n']",,0,32422.0,0,8,1,0,171357.267139,,0,4,0,False,[]
54953,2024-05-23T15:56:26Z,2024-06-11T14:14:00Z,ShaunSHamilton,0,0,1,50,2,2,2,"['status: waiting review', 'platform: api']",,0,1636811.0,0,30,0,0,362513.326755,,0,1,0,False,[]
55008,2024-05-29T13:09:30Z,2024-06-07T01:27:22Z,DanielRosa74,3,0,2,2919,49,2,2,"['status: waiting review', 'scope: curriculum', 'scope: i18n', 'new english course']",114054.0,0,801331.0,0,16,2,0,689609.459018,,0,2,0,False,"['DanielRosa74', 'moT01']"
55169,2024-06-12T13:53:47Z,2024-06-12T15:42:05Z,camperbot,0,0,1,40708,267,2,2,"['scope: curriculum', 'scope: i18n', 'crowdin-sync']",,0,6500.0,0,8,0,0,272183.684769,,0,1,0,False,[]
55043,2024-05-31T08:53:25Z,2024-06-14T12:20:46Z,Sembauke,4,4,12,184,5,3,2,"['status: waiting review', 'scope: tools/scripts']",12279.0,1,1222046.0,1,30,5,0,111459.795007,,2,12,0,False,"['raisedadead', 'Sembauke', 'ahmaxed', 'ojeytonwilliams']"
55160,2024-06-11T15:00:57Z,2024-06-11T15:33:05Z,ojeytonwilliams,0,0,1,1,1,2,2,[],,0,7040.0,0,30,0,0,354013.796703,,0,1,0,False,[]
55162,2024-06-11T16:37:57Z,2024-06-13T06:40:20Z,mpdillingerOSU,3,1,4,2,1,4,2,"['scope: curriculum', 'status: waiting update', 'new javascript course']",13.0,0,136944.0,1,30,0,0,218289.806013,,0,4,0,False,"['camperbot', 'mpdillingerOSU', 'Ksound22']"
54646,2024-05-03T17:45:17Z,2024-06-15T06:13:21Z,a2937,0,0,1,5,1,2,2,"['status: waiting review', 'scope: curriculum']",,0,3696611.0,0,8,0,0,24182.837652,,0,1,0,False,[]
55058,2024-06-01T17:00:08Z,2024-06-07T19:20:39Z,DanielRosa74,0,2,2,3545,56,3,2,"['status: waiting review', 'scope: curriculum', 'scope: i18n', 'new english course']",,0,528294.0,0,8,1,0,689608.861893,,0,2,0,False,"['DanielRosa74', 'nieldakarla']"
55098,2024-06-05T18:09:52Z,2024-06-08T12:44:26Z,moT01,0,0,3,2133,89,2,2,"['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'scope: tools/scripts']",,0,239677.0,0,30,0,0,628442.324962,,0,3,0,False,[]
55193,2024-06-14T12:59:20Z,2024-06-14T14:32:09Z,raisedadead,0,1,1,8,4,3,2,"['platform: learn', 'scope: tools/scripts']",,0,11151.0,0,30,0,0,98000.348088,,0,1,0,False,['raisedadead']
55127,2024-06-08T11:30:55Z,2024-06-10T16:46:45Z,DeepaPrasanna,0,0,1,529,65,2,2,"['scope: curriculum', 'scope: i18n', 'new javascript course']",,0,191750.0,0,30,0,0,441106.461767,,1,1,0,False,[]
55165,2024-06-12T07:09:02Z,2024-06-12T10:27:05Z,anastasiiauk,0,2,3,4,1,3,2,[],,0,11884.0,1,30,0,0,291085.65651,,0,3,0,False,"['anastasiiauk', 'ilenia-magoni']"
55109,2024-06-07T07:43:09Z,2024-06-10T16:15:42Z,huyenltnguyen,0,2,3,245,2,3,2,['scope: tools/scripts'],,0,290749.0,0,8,1,0,442173.737305,,0,3,0,False,"['naomi-lgbt', 'huyenltnguyen']"
54729,2024-05-09T16:51:36Z,2024-06-10T17:46:56Z,ojeytonwilliams,0,0,15,813,12,2,2,"['status: waiting review', 'platform: api']",,0,2819709.0,0,18,1,0,385906.816353,,0,15,0,False,[]
55114,2024-06-07T15:39:32Z,2024-06-10T05:50:40Z,ojeytonwilliams,0,0,1,979,108,2,2,['scope: curriculum'],,0,231700.0,0,28,1,0,472639.989497,,0,1,0,False,[]
55152,2024-06-10T19:56:47Z,2024-06-12T06:54:15Z,taylorwinterwolf,2,13,6,2,1,4,3,"['status: waiting review', 'platform: learn', 'scope: i18n']",122068.0,0,125848.0,2,30,0,0,303856.99918,,0,6,0,False,"['naomi-lgbt', 'taylorwinterwolf', 'ilenia-magoni', 'huyenltnguyen']"
55056,2024-06-01T08:57:09Z,2024-06-14T17:09:40Z,Sembauke,3,0,4,1109,51,3,4,"['platform: learn', 'scope: tools/scripts']",118.0,0,1152952.0,0,30,0,0,93931.061335,,0,4,0,False,"['Sembauke', 'socket-security[bot]']"
55157,2024-06-11T10:14:18Z,2024-06-13T17:23:07Z,huyenltnguyen,0,5,10,391,5,3,2,"['platform: learn', 'scope: i18n', 'scope: tools/scripts']",,0,198530.0,0,30,0,0,179724.078658,,0,10,0,False,['huyenltnguyen']
54958,2024-05-23T20:26:05Z,2024-05-25T22:51:13Z,DanielRosa74,0,0,1,4326,78,2,2,"['status: waiting review', 'scope: curriculum', 'scope: i18n', 'new english course']",,0,1293534.0,0,30,0,0,689613.10948,,0,1,0,False,[]
55119,2024-06-07T22:38:02Z,2024-06-08T14:14:54Z,royjohnlee,0,0,2,6,1,2,2,['scope: curriculum'],,0,56212.0,0,18,1,0,623018.118928,,0,2,0,False,[]
55186,2024-06-13T20:18:56Z,2024-06-14T08:41:32Z,naomi-lgbt,0,0,3,5,1,2,2,['scope: tools/scripts'],,0,44556.0,0,30,3,0,124620.161352,,0,3,0,False,[]
54839,2024-05-16T15:53:29Z,2024-06-12T07:41:54Z,ilenia-magoni,0,30,131,3828,28,5,1,"['status: waiting review', 'scope: curriculum', 'platform: learn', 'scope: i18n', 'new python course']",,1,2313667.0,1,30,0,0,290636.190289,,2,131,0,False,"['Dario-DC', 'ilenia-magoni']"
55094,2024-06-05T14:32:59Z,2024-06-12T18:43:37Z,tomitokko,5,10,8,3090,621,5,4,"['scope: curriculum', 'scope: i18n', 'new python course']",60395.0,0,619838.0,1,30,0,0,261295.218066,,0,8,0,False,"['tomitokko', 'ilenia-magoni', 'camperbot', 'Dario-DC', 'zairahira']"
55129,2024-06-08T13:04:54Z,2024-06-08T15:22:54Z,DanielRosa74,0,0,1,48,13,2,2,"['scope: curriculum', 'platform: learn', 'scope: i18n', 'new english course']",,0,262142.0,0,30,0,0,365076.239171,,0,1,0,False,[]
54105,2024-03-15T08:37:34Z,2024-06-10T12:55:36Z,Re1nGer,4,0,2,24,4,3,3,"['status: waiting review', 'scope: curriculum']",25465.0,1,7532282.0,1,30,0,0,454976.263048,,0,2,0,False,"['camperbot', 'Ksound22', 'Re1nGer', 'moT01']"
55168,2024-06-12T12:25:50Z,2024-06-12T15:42:42Z,camperbot,0,0,1,1688,22,2,2,"['platform: learn', 'scope: i18n', 'crowdin-sync']",,0,11813.0,0,30,1,0,272149.314326,,0,1,0,False,[]
55068,2024-06-03T08:49:59Z,2024-06-13T07:56:29Z,huyenltnguyen,7,30,47,621,34,3,2,['platform: learn'],161057.0,1,861277.0,0,30,1,0,213236.326709,,0,47,0,False,"['ahmaxed', 'Sembauke', 'socket-security[bot]', 'huyenltnguyen']"
54051,2024-03-11T21:10:01Z,2024-06-14T11:43:46Z,larymak,15,30,31,3253,172,6,2,"['scope: curriculum', 'scope: i18n', 'new python course']",1167689.0,0,8174026.0,8,30,5,0,113685.354518,,1,31,0,False,"['fhsinchy', 'larymak', 'ilenia-magoni', 'camperbot', 'Dario-DC', 'zairahira', 'moT01']"
55187,2024-06-13T22:34:46Z,2024-06-13T23:37:33Z,camperbot,2,0,2,69182,1368,2,2,"['scope: curriculum', 'scope: i18n', 'crowdin-sync']",220.0,0,3768.0,0,28,1,0,157258.376827,,0,2,0,False,"['camperbot', 'naomi-lgbt']"
55120,2024-06-08T02:37:22Z,2024-06-11T10:01:02Z,altsun,0,0,1,2,1,2,2,"['status: waiting review', 'scope: curriculum', 'new javascript course']",,0,285821.0,0,30,0,0,379049.541445,,0,1,0,False,[]
55174,2024-06-13T08:20:50Z,2024-06-14T05:37:48Z,sidemt,0,0,1,3,2,2,2,"['platform: learn', 'scope: i18n']",,0,76618.0,0,30,0,0,135644.941066,,0,1,0,False,[]
